time,day,event,estrazione,play_id,colpo,ambata,ambi,cluster,outcome,hit_ambi,hit_ranks,v48_play,v48_hit,v48_stop,v48_cost,v48_gross,v48_net,v48_roi,spy_id,spy,spy_condition,spy_followers,spy_network,spy_level,spy_horizon,spy_k1,spy_k2,spy_k3,spy_hit_nums,spy_cost,spy_gross,spy_net,spy_roi,playable_id,playable_colpo,playable_ambata,playable_ambi,playable_outcome,playable_hit_ambata,playable_hit_ambi,playable_support
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,1,49,NC2_W3_gap,15-81-42,ALTRO,MULTIPLA,,,,,,,,,,,,,,,,,
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,2,19,C2_exact,40-35-47,ALTRO,MULTIPLA,,,,,,,,,,,,,,,,,
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,3,50,C1_exact,45-39-81,ALTRO,MULTIPLA,,,,,,,,,,,,,,,,,
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,4,8,C2_exact,29-64-46,ALTRO,MULTIPLA,,,,,,,,,,,,,,,,,
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,5,56,C2_exact,52-61-47,ALTRO,MULTIPLA,,,,,,,,,,,,,,,,,
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,6,25,NC2_W5,20-46-6,ALTRO,MULTIPLA,,,,,,,,,,,,,,,,,
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,7,51,NC2_W5,63-45-66,ALTRO,MULTIPLA,,,,,,,,,,,,,,,,,
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,8,81,C1_exact,55-68-21,ALTRO,MULTIPLA,,,,,,,,,,,,,,,,,
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,9,49,NC3_W5_gap,89-46-81,ALTRO,MULTIPLA,,,,,,,,,,,,,,,,,
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,10,27,C1_exact,7-40-88,ALTRO,MULTIPLA,,,,,,,,,,,,,,,,,
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,11,80,NC2_W5,22-88-86,ALTRO,MULTIPLA,,,,,,,,,,,,,,,,,
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,12,13,C1_exact,89-90-50,ALTRO,MULTIPLA,,,,,,,,,,,,,,,,,
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,13,30,NC2_W3_gap,25-2-10,CATENA_5,FORTE,,,,,,,,,,,,,,,,,
2026-07-25 15:05:54,2026-07-25,SPY_OPEN,181,,,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,14,81,NC3_W5_gap,90-83-76,DECINA,NORMALE,,,,,,,,,,,,,,,,,
2026-07-25 15:10:58,2026-07-25,SPY_CLOSE_H1,182,,1,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,1,49,NC2_W3_gap,15-81-42,ALTRO,MULTIPLA,1,0,0,0,,1.00,0.00,-1.00,-100.0000,,,,,,,,
2026-07-25 15:10:58,2026-07-25,SPY_CLOSE_H1,182,,1,,,,,,,0,0,0,0.00,0.00,0.00,0.0000,2,19,C2_exact,40-35-47,ALTRO,MULTIPLA,1,1,0,0,35,1.00,0.00,-1.00,-100.0000,,,,,,,,
